NUMBER,NAME,DESKV,TYPE,INSTALL_DATE,FEET,MILES,OPCO,EAS_NUM,STATUS,OWNER,OBJECTID
227,Bann - Southeast Texarkana (AR),138 kV,Line,1965/12/31,2205,0.418,Southwestern Electric Power (TX,TLN194:00227,In service,AEP - SEP TX,306270
228,Bann - North New Boston,138 kV,Line,1964/12/31,98212,18.601,Southwestern Electric Power (TX,TLN194:00228,In service,AEP - SEP TX,292462
229,Ferndale Lake Tap,69 kV,Tap,1967/12/31,15740,2.981,Southwestern Electric Power (TX,TLN194:00229A,In service,AEP - SEP TX,292478
230,Logansport - Rock Hill,138 kV,Line,1965/12/31,266156,50.408,Southwestern Electric Power (TX,TLN194:00230,In service,AEP - SEP TX,298558
231,Evenside - Poynter,69 kV,Line,1967/12/31,19334,3.662,Southwestern Electric Power (TX,TLN194:00231,In service,AEP - SEP TX,292526
232,International Paper Tap (TX),69 kV,Tap,1969/12/31,9808,1.858,Southwestern Electric Power (TX,TLN194:00232,In service,AEP - SEP TX,305662
234,Buford - Naples,69 kV,Tap,1969/12/31,34029,6.445,Southwestern Electric Power (TX,TLN194:0234,In service,AEP - SEP TX,300414
235,Northwest Texarkana - Sugar Hill (TX),138 kV,Line,1981/12/31,55877,10.583,Southwestern Electric Power (TX,TLN194:00235,In service,AEP - SEP TX,292558
235,Northwest Texarkana - Sugar Hill (AR),138 kV,Line,1981/12/31,2176,0.412,Southwestern Electric Power (AR),TLN194:00235,In service,AEP - SEP non-TX,306286
236,Perdue - North Mineola,138 kV,Line,1974/12/31,166112,31.461,Southwestern Electric Power (TX,TLN194:0236,In service,AEP - SEP TX,299038
237,Harrison Road - Knox Lee,138 kV,Line,1972/12/31,80642,15.273,Southwestern Electric Power (TX,TLN194:00237,In service,AEP - SEP TX,292574
238,Diana - Perdue,138 kV,Line,2013/09/08,115474,21.870,Southwestern Electric Power (TX,TLN194:00238,In service,AEP - SEP TX,299054
239,Knox Lee - Northwest Henderson,138 kV,Line,1969/12/31,99167,18.782,Southwestern Electric Power (TX,TLN194:00239,In service,AEP - SEP TX,292622
240,Jefferson Switching - Wilkes,138 kV,Line,1968/12/31,57921,10.970,Southwestern Electric Power (TX,TLN194:00240,In service,AEP - SEP TX,299294
241,Alumax Tap,138 kV,Tap,1983/12/31,2564,0.486,Southwestern Electric Power (TX,TLN194:00241,In service,AEP - SEP TX,444408
242,IPC Jefferson - Jefferson Switching,138 kV,Line,2000/12/31,7633,1.446,Southwestern Electric Power (TX,TLN194:00242,In service,AEP - SEP TX,299278
244,Longwood - Scottsville (TX),138 kV,Line,1966/12/31,69011,13.070,Southwestern Electric Power (TX,TLN194:00244,In service,AEP - SEP TX,306414
245,Knox Lee - Rock Hill,138 kV,Line,1953/12/31,78997,14.961,Southwestern Electric Power (TX,TLN194:00245,In service,AEP - SEP TX,292862
246,North New Boston - Patterson (TX),138 kV,Line,1957/12/31,34026,6.444,Southwestern Electric Power (TX,TLN194:00246,In service,AEP - SEP TX,305886
247,West Atlanta - Wilkes,138 kV,Line,1959/12/31,168642,31.940,Southwestern Electric Power (TX,TLN194:00247,In service,AEP - SEP TX,292910
248,Lone Star South - Wilkes,138 kV,Line,1962/12/31,58223,11.027,Southwestern Electric Power (TX,TLN194:00248,In service,AEP - SEP TX,292926
249,Diana - Lone Star South,138 kV,Line,1950/12/31,66801,12.652,Southwestern Electric Power (TX,TLN194:00249,In service,AEP - SEP TX,292942
250,Petty - Wilkes,138 kV,Line,1967/12/31,181539,34.382,Southwestern Electric Power (TX,TLN194:00250,In service,AEP - SEP TX,293006
251,Chambers Spring - Clarksville (OK),345 kV,Line,1998/12/31,314124,59.493,Southwestern Electric Power (OK,TLN194:00251,In service,AEP - SEP non-TX,287758
256,Craig Junction - Patterson (OK),138 kV,Line,1940/12/31,51543,9.762,Southwestern Electric Power (OK,TLN194:00256,In service,AEP - SEP non-TX,306302
257,Craig Junction - DeQueen (OK),138 kV,Line,1971/12/31,53190,10.074,Southwestern Electric Power (OK,TLN194:00257,In service,AEP - SEP non-TX,306318
270,Lydia - Northwest Texarkana,345 kV,Line,1975/12/31,169332,32.071,Southwestern Electric Power (TX,TLN194:00270,In service,AEP - SEP TX,293070
271,Longwood - Wilkes (TX),345 kV,Line,1967/12/31,188595,35.719,Southwestern Electric Power (TX,TLN194:00271,In service,AEP - SEP TX,290638
272,Diana - Southwest Shreveport (TX),345 kV,Line,1973/12/31,247540,46.883,Southwestern Electric Power (TX,TLN194:00272,In service,AEP - SEP TX,298734
273,Crockett - Grimes (GSU),345 kV,Line,1978/12/31,143009,27.085,Southwestern Electric Power (TX,TLN194:00273,In service,AEP - SEP TX,299982
275,Diana - Welsh (CKT#2),345 kV,Line,1980/12/31,126034,23.870,Southwestern Electric Power (TX,TLN194:00275,In service,AEP - SEP TX,300398
277,Eastex Switching Station - Harrison Road,138 kV,Line,1900/01/01,51858,9.822,Southwestern Electric Power (TX,TLN194:00277,In service,AEP - SEP TX,293214
278,Diana - Lake Lamond,138 kV,Line,1998/12/31,119476,22.628,Southwestern Electric Power (TX,TLN194:00278,In service,AEP - SEP TX,293230
280,Craig Junction - Mena (AR),138 kV,Line,2000/12/31,148887,28.198,Southwestern Electric Power (AR),TLN194:00280,In service,AEP - SEP non-TX,297038
282,East Rogers - Rogers,161 kV,Line,2002/12/31,27204,5.152,Southwestern Electric Power (AR),TLN194:00282,In service,AEP - SEP non-TX,306206
283,Lowell - Tontitown,161 kV,Line,2002/12/31,64229,12.165,Southwestern Electric Power (AR),TLN194:00283,In service,AEP - SEP non-TX,302510
285,Siloam Springs - Chambers Spring,161 kV,Line,2007/02/25,39943,7.565,Southwestern Electric Power (AR),TLN194:00285,In service,AEP - SEP non-TX,387743
286,Pittsburg - Winnsboro 138kV,138 kV,Line,2005/12/31,112583,21.323,Southwestern Electric Power (TX,TLN194:00286,In service,AEP - SEP TX,360519
287,Winnsboro - North Mineola,138 kV,Line,2006/12/31,130133,24.646,Southwestern Electric Power (TX,TLN194:00287,In service,AEP - SEP TX,379074
288,Chambers Spring - Tontitown,345 kV,Line,2008/02/10,60917,11.537,Southwestern Electric Power (AR),TLN194:00288,In service,AEP - SEP non-TX,386767
292,Port Robson Tap ,138 kV,Tap,2005/12/31,17297,3.276,Southwestern Electric Power (LA),TLN194:00292,In service,AEP - SEP non-TX,347087
325,Turk - Sugar Hill,138 kV,Line,2009/12/31,115677,21.909,Southwestern Electric Power (AR),TLN194:00325,In service,AEP - SEP non-TX,419121
326,Okay - Patterson,138 kV,Line,2009/12/31,102385,19.391,Southwestern Electric Power (AR),TLN194:00326,In service,AEP - SEP non-TX,291214
327,Turk - NW Texarkana (AR),345 kV,Line,2011/12/31,117509,22.255,Southwestern Electric Power (AR),TLN194:00327,In service,AEP - SEP non-TX,461041
328,Turk - NW Texarkana (TX),345 kV,Line,2011/12/31,39445,7.471,Southwestern Electric Power (TX,TLN194:00328,In service,AEP - SEP TX,461042
329,Turk - Okay,138 kV,Line,2009/12/31,64160,12.151,Southwestern Electric Power (AR),TLN194:00329,In service,AEP - SEP non-TX,297950
330,Turk - Southeast Texarkana ,138 kV,Line,2011/12/31,141953,26.885,Southwestern Electric Power (AR),TLN194:00330,In service,AEP - SEP non-TX,440570
331,Caplis - McDade,138 kV,Line,2011/05/30,41069,7.778,Southwestern Electric Power (LA),TLN194:00331,In service,AEP - SEP non-TX,429681
332,Wallace Lake - Finney Tap,138 kV,Line,2007/12/31,14000,2.652,Southwestern Electric Power (LA),TLN194:00332,In service,AEP - SEP non-TX,387087
333,Caplis - Port Robson,138 kV,Line,2007/12/31,18922,3.584,Southwestern Electric Power (LA),TLN194:00333,In service,AEP - SEP non-TX,408226
334,Haughton - McDade,138 kV,Line,2010/12/31,60424,11.444,Southwestern Electric Power (LA),TLN194:00334,In service,AEP - SEP non-TX,440561
335,Haughton - Red Point,138 kV,Line,2012/05/30,15525,2.940,Southwestern Electric Power (LA),TLN194:00335,In service,AEP - SEP non-TX,444081
336,Longwood - Scottsville (LA),138 kV,Line,1966/12/31,16454,3.116,Southwestern Electric Power (LA),TLN194:00336,In service,AEP - SEP non-TX,292830
337,North Magazine - Danville (Entergy),161 kV,Line,2008/12/31,137263,25.997,Southwestern Electric Power (AR),TLN194:00337,In service,AEP - SEP non-TX,405007
339,Bean Loop,138 kV,Loop,2007/12/31,3847,0.729,Southwestern Electric Power (LA),TLN194:00339,In service,AEP - SEP non-TX,408543
