NUMBER,NAME,DESKV,TYPE,INSTALL_DATE,FEET,MILES,OPCO,EAS_NUM,STATUS,OWNER,OBJECTID
154D,Dyess - Springdale South,69 kV,Line,1928/12/31,10684,2.024,Southwestern Electric Power (AR),TLN194:0154D,In service,AEP - SEP non-TX,290766
154F,Greenland - South Fayetteville,69 kV,Line,1937/12/31,20859,3.951,Southwestern Electric Power (AR),TLN194:0154F,In service,AEP - SEP non-TX,299694
154G,Lowell - Rogers,161 kV,Line,2003/12/31,24048,4.555,Southwestern Electric Power (AR),TLN194:0154G,In service,AEP - SEP non-TX,290798
154H,Greenland - VBI North (AECC),69 kV,Line,1937/12/31,116220,22.011,Southwestern Electric Power (AR),TLN194:0154H,In service,AEP - SEP non-TX,299678
154J,Sefor Tap,69 kV,Line,1963/12/31,12757,2.416,Southwestern Electric Power (AR),TLN194:0154J,In service,AEP - SEP non-TX,368223
158A,Ashdown - Twelfth Street,69 kV,Line,1968/12/31,107458,20.352,Southwestern Electric Power (AR),TLN194:0158A,In service,AEP - SEP non-TX,297902
158A1,Ashdown - Patterson Tap,69 kV,Line,1968/12/31,6383,1.209,Southwestern Electric Power (AR),TLN194:158A1,In service,AEP - SEP non-TX,297934
158B,Cooper Tire Sub - Washington Street,69 kV,Line,1963/12/31,1707,0.323,Southwestern Electric Power (AR),TLN194:0158B,In service,AEP - SEP non-TX,426161
158D,Sugar Hill East Tap,69 kV,Tap,1981/12/31,2367,0.448,Southwestern Electric Power (AR),TLN194:0158D,In service,AEP - SEP non-TX,290990
158E,Texarkana Plant - Twelfth Street,69 kV,Line,1963/12/31,14786,2.800,Southwestern Electric Power (AR),TLN194:0158E,In service,AEP - SEP non-TX,297918
